Time,Theta1_planned,Theta1_current,Theta2_planned,Theta2_current,h3_planned,h3_current,Theta4_planned,Theta4_current,x,y
8.35999,108.092,103.54,40.8675,26.6386,-183.916,-182.031,124.344,107.442,-179.893,143.28
8.39999,108.13,103.571,41.2622,26.955,-183.995,-182.094,124.755,107.771,-178.203,138.35
8.43999,108.167,103.601,41.6557,27.2703,-184.073,-182.157,125.164,108.1,-176.389,133.627
8.47999,108.203,103.63,42.048,27.5848,-184.152,-182.22,125.571,108.426,-174.467,129.107
8.51999,108.238,103.671,42.4391,28.0352,-184.231,-182.311,125.976,108.893,-171.529,122.93
8.55999,108.271,103.698,42.8291,28.3477,-184.31,-182.374,126.379,109.217,-169.38,118.849
8.59999,108.303,103.724,43.2179,28.6593,-184.389,-182.437,126.78,109.538,-167.175,114.97
8.63999,108.334,103.749,43.6055,28.97,-184.468,-182.5,127.18,109.859,-164.925,111.289
8.67999,108.363,103.774,43.9919,29.2796,-184.547,-182.564,127.577,110.177,-162.646,107.802
8.71999,108.392,103.796,44.3771,29.5787,-184.627,-182.625,127.972,110.484,-160.423,104.606
8.75999,108.419,103.818,44.7612,29.8865,-184.706,-182.689,128.365,110.8,-158.125,101.49
8.79999,108.444,103.848,45.1441,30.3276,-184.786,-182.78,128.756,111.251,-154.806,97.2907
8.83999,108.469,103.868,45.5258,30.6335,-184.866,-182.844,129.146,111.563,-152.499,94.5575
8.87999,108.492,103.888,45.9063,30.9385,-184.945,-182.908,129.533,111.874,-150.221,91.9926
8.91999,108.514,103.906,46.2857,31.2425,-185.025,-182.972,129.918,112.183,-147.983,89.5918
8.95999,108.534,103.923,46.6639,31.5456,-185.105,-183.036,130.301,112.49,-145.79,87.347
8.99999,108.554,103.938,47.0409,31.8383,-185.186,-183.098,130.683,112.787,-143.72,85.3189
9.03999,108.572,103.953,47.4167,32.1395,-185.266,-183.162,131.062,113.091,-141.646,83.37
9.07999,108.589,103.973,47.7914,32.5711,-185.346,-183.254,131.439,113.526,-138.754,80.7818
9.11999,108.604,103.986,48.1649,32.8704,-185.427,-183.319,131.815,113.827,-136.811,79.1233
9.15999,108.619,103.998,48.5372,33.1689,-185.507,-183.383,132.188,114.127,-134.95,77.5923
9.19999,108.632,104.009,48.9083,33.4663,-185.588,-183.448,132.559,114.425,-133.177,76.1842
9.23999,108.643,104.023,49.2782,33.9017,-185.669,-183.543,132.929,114.86,-130.703,74.297
9.27999,108.654,104.032,49.647,34.1978,-185.75,-183.607,133.296,115.155,-129.108,73.1274
9.31999,108.663,104.04,50.0146,34.4827,-185.831,-183.67,133.661,115.439,-127.667,72.1012
9.35999,108.671,104.047,50.381,34.7671,-185.912,-183.733,134.025,115.721,-126.326,71.1716
9.39999,108.678,104.052,50.7462,35.06,-185.993,-183.798,134.386,116.011,-125.049,70.3094
9.43999,108.683,104.057,51.1103,35.3517,-186.075,-183.863,134.746,116.3,-123.884,69.5417
9.47999,108.687,104.061,51.4732,35.6425,-186.156,-183.928,135.103,116.586,-122.832,68.8642
9.51999,108.69,104.064,51.8349,35.9324,-186.238,-183.993,135.459,116.872,-121.896,68.2741
9.55999,108.691,104.066,52.1954,36.3467,-186.319,-184.087,135.812,117.278,-120.721,67.5506
9.59999,108.692,104.067,52.5548,36.7607,-186.401,-184.181,136.164,117.684,-119.713,66.9453
9.63999,108.691,104.067,52.9129,37.0478,-186.483,-184.247,136.513,117.964,-119.132,66.604
9.67999,108.689,104.066,53.2699,37.334,-186.565,-184.312,136.861,118.243,-118.673,66.34
9.71999,108.685,104.064,53.6258,37.6191,-186.647,-184.378,137.206,118.52,-118.336,66.1517
9.75999,108.68,104.06,53.9804,37.8946,-186.73,-184.442,137.55,118.788,-118.13,66.0417
9.79999,108.674,104.056,54.3339,38.1778,-186.812,-184.508,137.891,119.062,-118.041,66.0023
9.83999,108.667,104.051,54.6862,38.4602,-186.894,-184.574,138.231,119.334,-118.076,66.0368
9.87999,108.658,104.044,55.0373,38.7416,-186.977,-184.64,138.568,119.605,-118.234,66.1454
9.91999,108.648,104.037,55.3872,39.0221,-187.06,-184.706,138.904,119.874,-118.516,66.3286
9.95999,108.637,104.029,55.736,39.3017,-187.143,-184.772,139.238,120.142,-118.921,66.5873
9.99999,108.625,104.019,56.0836,39.5803,-187.226,-184.838,139.569,120.408,-119.448,66.923
10.04,108.611,104.009,56.43,39.8579,-187.309,-184.905,139.899,120.673,-120.096,67.3371
10.08,108.596,103.997,56.7752,40.1347,-187.392,-184.971,140.227,120.936,-120.864,67.8322
10.12,108.58,103.985,57.1192,40.4104,-187.475,-185.038,140.552,121.197,-121.75,68.4103
10.16,108.562,103.965,57.4621,40.8055,-187.558,-185.134,140.876,121.571,-123.189,69.368
10.2,108.544,103.951,57.8038,41.0793,-187.642,-185.2,141.198,121.829,-124.303,70.1256
10.24,108.524,103.935,58.1443,41.3523,-187.725,-185.267,141.517,122.086,-125.529,70.9768
10.28,108.502,103.919,58.4837,41.6243,-187.809,-185.334,141.835,122.341,-126.863,71.925
10.32,108.48,103.901,58.8218,41.8953,-187.893,-185.401,142.151,122.594,-128.303,72.974
10.36,108.456,103.883,59.1588,42.1655,-187.977,-185.468,142.465,122.846,-129.846,74.1293
10.4,108.431,103.864,59.4946,42.4263,-188.061,-185.533,142.776,123.089,-131.436,75.355
